7 -2 -6 1 1 2 -1 -1 -1
0 -10 7 2 2 0 1 -1 -1
-9 -3 -9 0 2 1 1 0 0
5 -4 4 0 0 0 0 0 0
-6 0 6 1 2 2 0 1 0
0 3 5 1 2 0 0 1 -1
-9 2 3 2 0 2 0 0 -1
0 7 2 0 0 0 1 0 -1
3 8 5 0 1 1 1 1 -1
10 1 8 0 1 1 0 0 1
3 5 -4 2 0 0 0 -1 -1
0 -8 4 1 2 1 -1 1 1
5 6 9 2 2 1 1 1 -1
-6 -1 -1 0 0 0 0 1 0
-1 -6 4 1 2 2 -1 -1 0
8 1 0 2 0 0 1 -1 -1
-6 7 6 1 0 0 1 -1 -1
10 0 -8 1 2 0 -1 0 -1
9 9 -5 1 2 2 -1 0 -1
-5 -2 -6 0 1 0 -1 1 -1
-4 5 -5 1 2 2 1 -1 1
-9 -5 -3 0 0 0 -1 1 -1
-8 4 4 0 2 0 0 -1 1
0 -3 4 1 2 1 1 -1 -1
4 -9 -4 1 0 1 1 -1 1
